time,close
2024-10-03,0.5222
2024-10-04,0.5341
2024-10-05,0.5297
2024-10-06,0.5339
2024-10-07,0.5285
2024-10-08,0.5309
2024-10-09,0.5241
2024-10-10,0.5302
2024-10-11,0.5385
2024-10-12,0.5392
2024-10-13,0.5318
2024-10-14,0.5483
2024-10-15,0.5417
2024-10-16,0.5482
2024-10-17,0.544
2024-10-18,0.5467
2024-10-19,0.5439
2024-10-20,0.5481
2024-10-21,0.5446
2024-10-22,0.5337
2024-10-23,0.5254
2024-10-24,0.5318
2024-10-25,0.5012
2024-10-26,0.5129
2024-10-27,0.5163
2024-10-28,0.5192
2024-10-29,0.5284
2024-10-30,0.5227
2024-10-31,0.5088
2024-11-01,0.5128
2024-11-02,0.5104
2024-11-03,0.5029
2024-11-04,0.5032
2024-11-05,0.5141
2024-11-06,0.5426
2024-11-07,0.5562
2024-11-08,0.5541
2024-11-09,0.5596
2024-11-10,0.5888
2024-11-11,0.6217
2024-11-12,0.7054
2024-11-13,0.6908
2024-11-14,0.7738
2024-11-15,0.8929
2024-11-16,1.1213
2024-11-17,1.0544
2024-11-18,1.1146
2024-11-19,1.1018
2024-11-20,1.105
2024-11-21,1.2487
2024-11-22,1.4746
2024-11-23,1.4705
2024-11-24,1.4351
2024-11-25,1.4144
2024-11-26,1.3979
2024-11-27,1.4713
2024-11-28,1.5426
2024-11-29,1.8022
2024-11-30,1.9528
2024-12-01,2.2978
2024-12-02,2.7289
2024-12-03,2.5127
2024-12-04,2.361
2024-12-05,2.2466
2024-12-06,2.4304
2024-12-07,2.6121
2024-12-08,2.6037
2024-12-09,2.2129
2024-12-10,2.373
2024-12-11,2.3957
2024-12-12,2.3388
2024-12-13,2.4225
2024-12-14,2.4005
2024-12-15,2.4465
2024-12-16,2.4854
2024-12-17,2.5676
2024-12-18,2.3092
2024-12-19,2.2376
2024-12-20,2.2786
2024-12-21,2.2365
2024-12-22,2.201
2024-12-23,2.2592
2024-12-24,2.3223
2024-12-25,2.2958
2024-12-26,2.1537
2024-12-27,2.1437
2024-12-28,2.1806
2024-12-29,2.0903
2024-12-30,2.0553
2024-12-31,2.0793
2025-01-01,2.3285
2025-01-02,2.4008
2025-01-03,2.4538
2025-01-04,2.4199
2025-01-05,2.399
2025-01-06,2.4212
2025-01-07,2.2709
2025-01-08,2.3727
2025-01-09,2.2726
2025-01-10,2.3413
2025-01-11,2.576
2025-01-12,2.5033
2025-01-13,2.5227
2025-01-14,2.6674
2025-01-15,3.1428
2025-01-16,3.2452
2025-01-17,3.2942
2025-01-18,3.2663
2025-01-19,2.9565
2025-01-20,3.1022
2025-01-21,3.1748
2025-01-22,3.1792
2025-01-23,3.12
2025-01-24,3.1009
2025-01-25,3.1073
2025-01-26,3.0211
2025-01-27,3.0547
2025-01-28,3.0557
2025-01-29,3.0685
2025-01-30,3.128
2025-01-31,3.0353
2025-02-01,2.878
2025-02-02,2.5797
2025-02-03,2.7034
2025-02-04,2.5283
2025-02-05,2.3813
2025-02-06,2.3252
2025-02-07,2.3975
2025-02-08,2.4195
2025-02-09,2.3938
2025-02-10,2.4241
2025-02-11,2.4126
2025-02-12,2.4738
2025-02-13,2.5607
2025-02-14,2.739
2025-02-15,2.7626
2025-02-16,2.7288
2025-02-17,2.66
2025-02-18,2.561
2025-02-19,2.7377
2025-02-20,2.6884
2025-02-21,2.571
